metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1718173229,1.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_duration,1718173229,5.878870,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_blocked,1718173229,39.314298,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_connecting,1718173229,6.143611,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_tls_handshaking,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_sending,1718173229,0.053269,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_waiting,1718173229,5.724843,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_receiving,1718173229,0.100758,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_failed,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_reqs,1718173229,1.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_duration,1718173229,5.641859,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_blocked,1718173229,40.583904,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_connecting,1718173229,6.480239,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_tls_handshaking,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_sending,1718173229,0.035657,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_waiting,1718173229,5.558182,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_receiving,1718173229,0.048020,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_failed,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_reqs,1718173229,1.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_duration,1718173229,5.844451,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_blocked,1718173229,40.551362,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_connecting,1718173229,6.482171,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_tls_handshaking,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_sending,1718173229,0.027341,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_waiting,1718173229,5.736850,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_receiving,1718173229,0.080260,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_failed,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_reqs,1718173229,1.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_duration,1718173229,5.877247,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_blocked,1718173229,40.013145,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_connecting,1718173229,6.427858,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_tls_handshaking,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_sending,1718173229,0.026169,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_waiting,1718173229,5.810612,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_receiving,1718173229,0.040466,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_failed,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_reqs,1718173229,1.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_duration,1718173229,5.723120,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_blocked,1718173229,40.547486,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_connecting,1718173229,6.615702,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_tls_handshaking,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_sending,1718173229,0.052403,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_waiting,1718173229,5.637014,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_receiving,1718173229,0.033703,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_failed,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_reqs,1718173229,1.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_duration,1718173229,5.876642,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_blocked,1718173229,39.605810,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_connecting,1718173229,6.534960,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_tls_handshaking,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_sending,1718173229,0.023373,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_waiting,1718173229,5.790912,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_receiving,1718173229,0.062357,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_failed,1718173229,0.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_reqs,1718173229,1.000000,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_duration,1718173229,5.968232,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_blocked,1718173229,40.225622,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
http_req_connecting,1718173229,6.581065,,,,true,,GET,http://test.k6.io/,HTTP/1.1,default,,308,,,http://test.k6.io/,,
